country,year,scenario,BA,Forest_damage,,,,,,
Germany,1994,historical,1114,27850,,,,,,
Germany,1995,historical,592,14800,,,,,,
Germany,1996,historical,1381,34525,,,,,,
Germany,1997,historical,599,14975,,,,,,
Germany,1998,historical,397,9925,,,,,,
Germany,1999,historical,415,10375,,,,,,
Germany,2000,historical,581,14525,,,,,,
Germany,2001,historical,122,3050,,,,,,
Germany,2002,historical,122,3050,,,,DE,ES,SW
Germany,2003,historical,1315,32875,,,Area_average,701,122785,3028
Germany,2004,historical,274,6850,,,Area_sd,757,80432,4829
Germany,2005,historical,183,4575,,,Damage_average,17530,736709,118093
Germany,2006,historical,482,12050,,,Damage_sd,18913,482595,188336
Germany,2007,historical,256,6400,,,,,,
Germany,2008,historical,539,13475,,,,,,
Germany,2009,historical,262,6550,,,,,,
Germany,2010,historical,522,13050,,,,,,
Germany,2011,historical,214,5350,,,,,,
Germany,2012,historical,269,6725,,,,,,
Germany,2013,historical,199,4975,,,,,,
Germany,2014,historical,120,3000,,,,,,
Germany,2015,historical,526,13150,,,,,,
Germany,2016,historical,283,7075,,,,,,
Germany,2017,historical,395,9875,,,,,,
Germany,2018,historical,2349,58725,,,,,,
Germany,2019,historical,2711,67775,,,,,,
Germany,2020,historical,368,9200,,,,,,
Germany,2021,historical,148,3700,,,,,,
Germany,2022,historical,3058,76450,,,,,,
Germany,2023,historical,1240,31000,,,,,,
Spain,1994,historical,437635,2625810,,,,,,
Spain,1995,historical,143484,860904,,,,,,
Spain,1996,historical,59814,358884,,,,,,
Spain,1997,historical,98503,591018,,,,,,
Spain,1998,historical,133643,801858,,,,,,
Spain,1999,historical,82217,493302,,,,,,
Spain,2000,historical,188586,1131516,,,,,,
Spain,2001,historical,93297,559782,,,,,,
Spain,2002,historical,107464,644784,,,,,,
Spain,2003,historical,148172,889032,,,,,,
Spain,2004,historical,134193,805158,,,,,,
Spain,2005,historical,188697,1132182,,,,,,
Spain,2006,historical,155345,932070,,,,,,
Spain,2007,historical,86122,516732,,,,,,
Spain,2008,historical,50322,301932,,,,,,
Spain,2009,historical,120094,720564,,,,,,
Spain,2010,historical,54770,328620,,,,,,
Spain,2011,historical,102161,612966,,,,,,
Spain,2012,historical,226125,1356750,,,,,,
Spain,2013,historical,58985,353910,,,,,,
Spain,2014,historical,46721,280326,,,,,,
Spain,2015,historical,103200,619200,,,,,,
Spain,2016,historical,65817,394902,,,,,,
Spain,2017,historical,178234,1069404,,,,,,
Spain,2018,historical,25162,150972,,,,,,
Spain,2019,historical,83963,503778,,,,,,
Spain,2020,historical,65923,395538,,,,,,
Spain,2021,historical,87880,527280,,,,,,
Spain,2022,historical,267947,1607682,,,,,,
Spain,2023,historical,89068,534408,,,,,,
Sweden,1994,historical,3100,120900,,,,,,
Sweden,1995,historical,400,15600,,,,,,
Sweden,1996,historical,1588,61932,,,,,,
Sweden,1997,historical,5873,229047,,,,,,
Sweden,1998,historical,422,16458,,,,,,
Sweden,1999,historical,1771,69069,,,,,,
Sweden,2000,historical,1552,60528,,,,,,
Sweden,2001,historical,1254,48906,,,,,,
Sweden,2002,historical,2626,102414,,,,,,
Sweden,2003,historical,4002,156078,,,,,,
Sweden,2004,historical,1883,73437,,,,,,
Sweden,2005,historical,1562,60918,,,,,,
Sweden,2006,historical,5710,222690,,,,,,
Sweden,2007,historical,1090,42510,,,,,,
Sweden,2008,historical,6113,238407,,,,,,
Sweden,2009,historical,1537,59943,,,,,,
Sweden,2010,historical,540,21060,,,,,,
Sweden,2011,historical,945,36855,,,,,,
Sweden,2012,historical,483,18837,,,,,,
Sweden,2013,historical,1508,58812,,,,,,
Sweden,2014,historical,14666,571974,,,,,,
Sweden,2015,historical,594,23166,,,,,,
Sweden,2016,historical,1288,50232,,,,,,
Sweden,2017,historical,1433,55887,,,,,,
Sweden,2018,historical,24310,948090,,,,,,
Sweden,2019,historical,1233,48087,,,,,,
Sweden,2020,historical,821,32019,,,,,,
Sweden,2021,historical,731,28509,,,,,,
Sweden,2022,historical,912,35568,,,,,,
Sweden,2023,historical,894,34866,,,,,,
